id_pedido,estado,fecha_emision,id_suc,dni_empleado,dni_admin
1,emitido,2025-09-22 20:02:25.106161,7,54509877,33417158
2,emitido,2025-09-22 20:02:39.405885,2,15015854,33417158
3,emitido,2025-09-22 20:02:52.438794,2,15015854,33417158
4,emitido,2025-09-22 20:03:05.126952,2,15015854,33417158
5,emitido,2025-09-22 20:03:17.966793,2,15015854,33417158
6,emitido,2025-09-22 20:03:33.627118,2,15015854,33417158
7,emitido,2025-09-22 20:03:47.161675,3,79377751,33417158
8,emitido,2025-09-22 20:03:59.710117,3,79377751,33417158
9,emitido,2025-09-22 20:04:13.202803,3,79377751,33417158
10,emitido,2025-09-22 20:04:26.018847,3,79377751,33417158
11,emitido,2025-09-22 20:04:39.531739,1,79785602,33417158
12,emitido,2025-09-22 20:04:52.635856,1,79785602,33417158
13,emitido,2025-09-22 20:05:05.633585,1,79785602,33417158
14,emitido,2025-09-22 20:05:18.677204,5,39232243,33417158
15,emitido,2025-09-22 20:05:32.246959,5,39232243,33417158
16,emitido,2025-09-22 20:05:45.475102,5,39232243,33417158
17,emitido,2025-09-22 20:05:58.744067,5,39232243,33417158
