dni,es_encargado
79785602,True
29564696,True
89381170,True
68469681,False
17371735,False
52740952,False
20511437,False
72649616,False
99450044,False
15015854,True
97675101,True
29742613,True
71318358,False
82941873,False
30065219,False
16943387,False
78246241,False
81438843,False
59312302,False
54844970,True
79377751,True
20437753,True
94898723,True
81795608,False
32492711,False
47425506,False
44113068,False
36072511,False
25880163,False
47661588,True
18576326,True
58821179,True
51329718,True
61499628,False
7118336,False
57863116,False
76969767,False
30317153,False
66618884,False
34016599,True
66875322,True
39232243,True
55793883,True
62518889,True
11656742,False
24048550,False
54460300,False
81867220,False
73927901,False
27502911,True
11946177,True
54839692,True
44405983,True
22953349,True
66611915,True
87444500,False
64909635,False
19242096,False
80719219,False
2340119,False
77629961,False
82029220,False
54509877,True
93498659,True
42116105,True
68396861,False
27855485,False
97663906,False
17551317,False
61246420,False
63153738,False
61436036,False
92787518,True
79015988,True
70857057,True
91930520,False
83229107,False
57868831,False
57283813,False
78077943,False
98836075,True
