dni,nombre,fecha_nacimiento,mail,id_suc,activo,tipo,es_encargado
79785602,Eloísa Salamanca Melero,1964-09-07,bonetsalome@example.net,1,True,empleado,True
29564696,Eligio Santos Vergara,1974-12-30,gcazorla@example.net,1,True,empleado,True
89381170,Genoveva Madrigal Mendizábal,1976-08-11,felisa54@example.net,1,True,empleado,True
68469681,Nazario Alfaro Antón,1961-06-23,arcoslilia@example.com,1,True,empleado,False
17371735,Adolfo Guerrero Donoso,1994-01-02,rvalbuena@example.net,1,True,empleado,False
52740952,Angelina Nadal,1999-06-23,azaharcabanillas@example.com,1,True,empleado,False
20511437,Jesusa Agustí Seco,2001-12-23,morcillotoni@example.net,1,True,empleado,False
72649616,Eduardo Torralba Bauzà,1983-03-20,dalilatamarit@example.org,1,True,empleado,False
99450044,Jesusa Riquelme Riba,1986-07-31,damian20@example.com,1,False,empleado,False
15015854,Natalio Gallego Tello,1982-12-11,tristanmonreal@example.com,2,True,empleado,True
97675101,Luisa Salcedo-Pareja,1968-09-12,vilma45@example.net,2,True,empleado,True
29742613,Rosalva Muñoz Crespo,1986-04-17,calixto88@example.org,2,True,empleado,True
71318358,Isabela Catalán,1981-09-06,ambar10@example.org,2,True,empleado,False
82941873,Edelmiro Juliá Guitart,1972-10-18,emiliana98@example.net,2,True,empleado,False
30065219,Gema del Catalá,1975-05-15,america86@example.org,2,True,empleado,False
16943387,Albino José Ángel Bou Capdevila,1967-05-31,eric91@example.net,2,True,empleado,False
78246241,Luis Ángel Alcolea Beltran,1960-04-22,calmazan@example.org,2,True,empleado,False
81438843,Renata Solé Barrera,1962-05-10,bfalco@example.net,2,False,empleado,True
59312302,Basilio Victorino Garzón Pineda,2001-03-08,rroda@example.net,2,False,empleado,True
54844970,Oriana Giralt Canet,1977-03-01,pazrosado@example.net,2,False,empleado,False
79377751,Reinaldo Roldan Palmer,2004-04-12,delgadomarisol@example.net,3,True,empleado,True
20437753,Hortensia Rebeca Cabeza Antón,2003-04-26,mlerma@example.com,3,True,empleado,True
94898723,Irma Gimeno Abascal,1992-07-16,bayonabaltasar@example.com,3,True,empleado,True
